LanePointX,LanePointY
3.096758,-5.948738
3.168215,-5.945748
3.240942,-5.942605
4.506203,-5.869384
4.591709,-5.863086
4.677951,-5.856558
4.764877,-5.849784
4.852764,-5.842748
4.941263,-5.835458
5.030509,-5.827909
5.120583,-5.820075
5.211466,-5.811962
5.302975,-5.803567
5.395402,-5.794867
5.488449,-5.785871
5.582360,-5.776559
5.676982,-5.766927
5.772459,-5.756963
7.403839,-5.545677
7.512395,-5.528725
7.621570,-5.511300
7.731604,-5.493343
7.842356,-5.474875
7.953826,-5.455875
8.066156,-5.436316
8.179170,-5.416208
8.292937,-5.395536
8.407512,-5.374267
8.522829,-5.352412
8.638969,-5.329932
8.755847,-5.306840
8.873338,-5.283138
8.991630,-5.258785
10.982064,-4.770678
11.112421,-4.733275
11.243455,-4.694974
11.374999,-4.655797
11.507327,-4.615654
11.640263,-4.574571
11.773898,-4.532511
11.909055,-4.489180
12.043170,-4.445392
12.178381,-4.400435
12.314647,-4.354305
12.451228,-4.307221
12.588864,-4.258916
12.726328,-4.209793
12.864711,-4.159456
15.147458,-3.190794
15.293829,-3.119131
15.440493,-3.046111
15.587497,-2.971648
15.735688,-2.895320
15.883191,-2.818024
16.031244,-2.739138
16.178765,-2.659176
16.327193,-2.577380
16.476834,-2.493489
16.625645,-2.408659
16.774697,-2.322244
16.924803,-2.233784
17.073077,-2.144932
17.222796,-2.053767
19.527462,-0.430391
19.663029,-0.321326
19.798103,-0.211181
19.931709,-0.100812
20.064308,0.010143
20.196308,0.121968
20.326378,0.233524
20.456235,0.346211
20.586014,0.460164
20.713564,0.573436
20.840860,0.687756
20.967409,0.802639
21.093292,0.918156
21.218162,1.033935
21.342480,1.150397
23.236650,3.065732
23.350040,3.188414
23.462685,3.311152
23.574925,3.434276
23.686685,3.557702
23.797878,3.681300
23.908449,3.805005
24.019331,3.929828
24.128496,4.053485
24.237684,4.177902
24.346470,4.302598
24.454937,4.427637
24.562854,4.552753
24.670384,4.678102
24.777528,4.803683
26.440755,6.833196
26.541842,6.961005
26.642636,7.088915
26.743202,7.216984
26.843380,7.345011
26.943307,7.473146
27.043031,7.601452
27.142463,7.729793
27.241535,7.858084
27.340336,7.986416
27.438978,8.114937
27.537223,8.243318
27.635268,8.371814
27.733009,8.500271
27.830471,8.628723
29.358834,10.684851
29.452529,10.813188
29.546080,10.941565
29.639302,11.069715
29.733062,11.198832
29.825506,11.326352
29.919045,11.455598
30.011599,11.583690
30.103182,11.710641
30.195449,11.838734
30.287342,11.966502
30.379211,12.094422
30.470967,12.222372
30.562598,12.350324
30.654033,12.478178
32.098699,14.518973
32.187536,14.645619
32.275971,14.771804
32.364328,14.897962
32.452433,15.023847
32.540366,15.149547
32.628011,15.274900
32.715632,15.400252
32.802944,15.525204
32.890062,15.649887
32.977116,15.774496
33.064009,15.898857
33.150472,16.022595
33.236889,16.146228
33.323146,16.269596
34.687005,18.204794
34.771458,18.323070
34.855782,18.440923
34.940146,18.558563
35.024445,18.675851
35.108668,18.792744
35.192911,18.909380
35.277087,19.025614
35.361195,19.141450
35.445422,19.257120
35.529404,19.372130
35.613406,19.486818
35.697496,19.601284
35.781524,19.715295
35.865516,19.828896
37.212974,21.593517
37.297612,21.700312
37.382185,21.806512
37.466865,21.912311
37.551616,22.017672
37.636510,22.122659
37.721413,22.227118
37.806419,22.331138
37.891510,22.434707
37.976707,22.537828
38.061947,22.640435
38.147552,22.742888
38.232884,22.844435
38.318422,22.945624
38.404028,23.046303
39.789882,24.589469
39.877444,24.681324
39.965269,24.772777
40.053231,24.863671
40.142166,24.954877
40.229700,25.043936
40.318776,25.133869
40.407313,25.222536
40.495999,25.310649
40.584712,25.398067
40.672848,25.484214
40.762351,25.570973
40.851506,25.656676
40.940729,25.741711
41.030145,25.826212
42.481777,27.095964
42.573806,27.169996
42.665983,27.243407
42.757973,27.315879
42.850236,27.387832
42.942798,27.459231
43.035408,27.529932
43.128214,27.599995
43.221084,27.669370
43.314172,27.738120
43.407308,27.806168
43.500760,27.873657
43.594157,27.940367
43.687704,28.006393
43.781367,28.071762
45.294758,29.026252
45.390227,29.080391
45.485682,29.133863
45.581298,29.186726
45.676940,29.238954
45.772776,29.290595
45.868674,29.341629
45.964543,29.391963
46.060607,29.441769
46.157565,29.491358
46.253466,29.539777
46.349323,29.587511
46.446063,29.635070
46.542352,29.681745
46.638409,29.727703
48.190917,30.387102
48.288409,30.423472
48.386610,30.459559
48.483753,30.494658
48.581260,30.529352
48.678987,30.563535
48.776796,30.597211
48.874690,30.630331
48.972535,30.662904
49.070563,30.694957
49.168517,30.726460
49.266614,30.757432
49.364691,30.787877
49.462949,30.817806
49.561099,30.847185
51.138397,31.246597
51.237226,31.267173
51.336431,31.287344
51.434716,31.306787
51.534408,31.326031
51.632884,31.344498
51.732423,31.362690
51.830958,31.380159
51.933424,31.397846
52.029087,31.413812
52.128136,31.429894
52.227342,31.445470
52.326597,31.460585
52.425844,31.475167
52.524999,31.489269
54.117353,31.648013
54.216889,31.653734
54.316447,31.659004
54.415252,31.663711
54.514995,31.668015
54.615334,31.671817
54.714834,31.675132
54.814394,31.677924
54.913968,31.680265
55.013707,31.682085
55.112744,31.683442
55.212420,31.684287
55.312076,31.684681
55.411792,31.684548
55.511511,31.683965
57.106737,31.607594
57.206384,31.598609
57.305945,31.589178
57.405590,31.579200
57.505138,31.568775
57.604708,31.557807
57.704362,31.546372
57.803861,31.534410
57.903386,31.521987
58.003027,31.509004
58.102350,31.495601
58.201728,31.481644
58.301221,31.467210
58.400623,31.452237
58.499839,31.436830
60.084017,31.120702
60.182655,31.096561
60.281149,31.071973
60.379552,31.046827
60.478019,31.021181
60.576403,30.994969
60.674597,30.968322
60.772857,30.941067
60.870869,30.913391
60.968980,30.885095
61.066908,30.856357
61.164850,30.827019
61.262643,30.797228
61.360389,30.766850
61.458106,30.735981
63.007615,30.169683
63.103527,30.129702
63.199253,30.089263
63.294893,30.048208
63.390429,30.006657
63.485844,29.964500
63.581059,29.921886
63.676574,29.878471
63.771654,29.834699
63.867019,29.790121
63.961210,29.743827
64.056965,29.695050
64.152068,29.643734
64.246408,29.590777
64.342090,29.534075
65.822181,28.325535
65.910022,28.234121
65.997578,28.140454
66.084527,28.045465
66.170738,27.948763
66.256373,27.850751
66.341294,27.751075
66.425532,27.650260
66.508975,27.547951
66.591663,27.444643
66.673656,27.339794
66.754921,27.233957
66.835434,27.126715
66.915182,27.018582
66.994128,26.910113
68.152790,25.178431
68.218749,25.071040
68.283937,24.963856
68.348377,24.856706
68.412103,24.749678
68.475046,24.642744
68.537240,24.535997
68.598748,24.429185
68.659492,24.322594
68.719518,24.215996
68.778821,24.109558
68.837441,24.003055
68.895276,23.896830
68.952379,23.790639
69.008794,23.684556
69.816341,21.997811
69.861011,21.893038
69.905073,21.788306
69.948544,21.683383
69.991183,21.579052
70.033223,21.474566
70.074640,21.370185
70.115409,21.265775
70.155540,21.161520
70.195050,21.057183
70.233869,20.953153
70.272054,20.849087
70.309627,20.745143
70.346579,20.641133
70.383093,20.536764
70.881181,18.883728
70.907252,18.780899
70.932280,18.676947
70.956400,18.572267
70.979281,18.466154
71.001136,18.359109
71.021679,18.250596
71.041137,18.141209
71.059285,18.030263
71.076310,17.918611
71.092001,17.805614
71.106602,17.691736
71.119854,17.576755
71.132004,17.461072
71.142828,17.344298
71.157186,15.392175
71.148536,15.266644
71.138730,15.140778
71.127938,15.014867
71.115989,14.888437
71.103088,14.762228
71.089072,14.635772
71.074055,14.508977
71.058010,14.382561
71.040986,14.255923
71.022890,14.129170
71.003838,14.002355
70.983760,13.875643
70.962782,13.749170
70.940741,13.622478
70.462162,11.616432
70.424929,11.493169
70.387145,11.369970
70.348966,11.246956
70.310384,11.123944
70.271432,11.000890
70.232069,10.877626
70.192385,10.754357
70.152330,10.630931
70.111773,10.506883
70.070876,10.382737
70.030071,10.259735
69.988628,10.135678
69.946904,10.011603
69.904823,9.887295
69.193831,7.883487
69.147328,7.757431
69.100663,7.631435
69.053763,7.505274
69.006663,7.379046
68.959324,7.252623
68.911840,7.126261
68.864173,6.999833
68.816276,6.873219
68.768263,6.746698
68.720064,6.620089
68.671636,6.493255
68.623148,6.366646
